PID,UR,Alias,Merged,Deleted,familyName,givenName,birthdate,sex,streetNo,streetName,shortStreetType,suburb,state,postcode,country,sa1,meshblock,longitude,latitude,mobile,homePhone,businessPhone,email,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race,deathDate
500095,302046,,,,BASHIR-HUSSEINGH,EDNAKL,1963-10-31,F,66,SPEARWOOD,RD,SADADEEN,NT,0870,AUS,70201104610,70016430400,133.90046707,-23.70019348,0491570157,0755503533,0770100576,ednakl.bashir-husseingh@his4ehr.com,56505933864,,,156,65.6,66,81,D,4,
500096,302067,,,,SLOBODENKOKL,CHRISOP,1967-10-30,F,10,HIBISCUS,ST,EAST SIDE,NT,0870,AUS,70201104609,70002310000,133.89930687,-23.69103033,0491570156,0755504750,0770107178,chrisop.slobodenkokl@his4ehr.com,55556506531,,,160,41.0,42,50,D,4,
500097,302088,,,,TERRYFG,ARIELLEFG,1978-10-27,F,172,CASUARINA,DR,NIGHTCLIFF,NT,0810,AUS,70102102506,70010860000,130.84387575,-12.38423051,0491570110,0755501795,0770101010,ariellefg.terryfg@his4ehr.com,56071268731,,,166,79.3,85,122,S,4,
500098,302109,,,,SIEVERSIJ,DONALDGH,1947-11-04,M,229,BRUNKER,ST,ALYANGULA,NT,0885,AUS,70204106206,70016421800,136.41566047,-13.84425083,0491570156,0755501892,0770101094,donaldgh.sieversij@his4ehr.com,50844696632,,,171,83.7,87,100,S,4,
500099,302130,,,,HEFFERNANXY,JOHNNO,1965-10-30,M,12125,STUART,HWY,DAVENPORT,NT,0872,AUS,70202105503,70032351000,134.25505899,-20.73900825,0491570157,0755501559,0770107873,johnno.heffernanxy@his4ehr.com,53009231973,,,180,96.6,100,118,M,4,
500100,302151,,,,CHANDLERGH,ADRIANNAQR,1963-10-31,F,104,ZULEIKA,RD,DUNDEE BEACH,NT,0840,AUS,70203105708,70003940000,130.35706675,-12.76836519,0491570157,0755508886,0770109808,adriannaqr.chandlergh@his4ehr.com,53197755034,,,165,96.3,103,147,D,4,
500101,302172,,,,BUTLERYZ,JOHNNO,1958-11-01,M,12,MEYERS,ST,TENNANT CREEK,NT,0860,AUS,70202105613,70031700000,134.19271671,-19.65635182,0491570157,0755504774,0770103690,johnno.butleryz@his4ehr.com,58688950372,,,176,97.1,101,124,S,4,
500102,302194,,,,MERRITTGH,JANICEWX,1955-11-02,F,42,WALLABY HOLTZE,RD,YARRAWONGA,NT,0830,AUS,70104104104,70024802000,130.98823831,-12.46849866,0491570158,0755508669,0770105964,janicewx.merrittgh@his4ehr.com,59422162354,,,161,85.4,91,131,S,4,
500103,302216,,,,CAMPBELLOP,TONIVW,1947-11-04,F,42,FLAMETREE,CCT,ROSEBERY,NT,0832,AUS,70104104301,70024830000,130.9855467,-12.50213212,0491570159,0755506283,0770104630,tonivw.campbellop@his4ehr.com,52924179972,,,153,89.6,93,131,D,4,
500104,302237,,,,BLAKELEYWX,SUZANNEYZ,1969-10-29,F,10,DARGAVILLE,CL,NHULUNBUY,NT,0880,AUS,70204106408,70016409600,136.78462911,-12.18702616,0491570156,0755505107,0770104806,suzanneyz.blakeleywx@his4ehr.com,59169271613,,,158,77.4,78,111,S,4,
500105,302259,,,,CLARKEMN,CLAUDIAOP,1954-11-02,F,76,EAST POINT,RD,FANNIE BAY,NT,0820,AUS,70101100403,70007160000,130.83650179,-12.42648663,0491570156,0755502606,0770106672,claudiaop.clarkemn@his4ehr.com,52096705444,,,159,66.8,71,95,S,4,
500106,302281,,,,SMITHEF,ANGELAQR,1966-10-30,F,275,ANGLESEY,RD,GIRRAWEEN,NT,0836,AUS,70103103212,70020571000,131.1063923,-12.53095713,0491570157,0755506723,0770107230,angelaqr.smithef@his4ehr.com,51900449244,,,159,89.7,92,136,D,4,
500107,302302,,,,TINDAL DAVIESKL,JERALDQR,1951-11-03,M,164,WOODLANDS,RD,HUMPTY DOO,NT,0836,AUS,70103103219,70019760000,131.13212336,-12.59966428,0491570158,0755503199,0770100545,jeraldqr.tindal davieskl@his4ehr.com,52196117854,,,171,76.3,78,91,M,4,
500108,302323,,,,MOMIRCEVSKIAB,JAMESPQ,1978-10-27,M,34,GUMULALA,ST,LYONS,NT,0810,AUS,70102102111,70016427300,130.89013375,-12.35482824,0491570158,0755502710,0770105917,jamespq.momircevskiab@his4ehr.com,55218513053,,,181,94.3,100,104,M,4,
500109,302345,,,,SHANNANCD,THELMARS,1943-11-05,F,2,BILLARUNG,ST,EATON,NT,0820,AUS,70101100608,70014194000,130.86277728,-12.42198857,0491570110,0755500690,0770106309,thelmars.shannancd@his4ehr.com,55279122145,,,157,61.2,66,93,D,4,
500110,302366,,,,TRANVW,KYLETU,1942-11-05,M,235,JARVIS,RD,ACACIA HILLS,NT,0822,AUS,70103103512,70020322000,131.10538008,-12.72187996,0491570158,0755503713,0770107927,kyletu.tranvw@his4ehr.com,55694591474,,,167,88.8,92,127,M,4,
500111,302388,,,,NORMANFG,MATTHEWIJ,1949-11-03,M,15,WYONGA,CT,GUNN,NT,0832,AUS,70104104108,70016396100,130.9951311,-12.48394633,0491570110,0755503041,0770102418,matthewij.normanfg@his4ehr.com,55848923833,,,173,82.2,86,101,M,4,
500112,302410,,,,KOLLICHGH,RICHARDAB,1973-10-28,M,129,APER,RD,DAVENPORT,NT,0872,AUS,70202105508,70032352000,134.68017667,-21.04887654,0491570158,0755501424,0770104975,richardab.kollichgh@his4ehr.com,52862727113,,,179,91.8,92,116,M,4,
500113,302432,,,,HURIHANGANUIST,DIANEYZ,1959-11-01,F,5,MILKWOOD,CCT,KARAMA,NT,0812,AUS,70102101905,70007880000,130.91771971,-12.39584212,0491570159,0755508862,0770104770,dianeyz.hurihanganuist@his4ehr.com,59697662031,,,160,78.6,82,119,M,4,
500114,302453,,,,POTTERIJ,JAMESCD,1973-10-28,M,159,MITCHELL,ST,LARRAKEYAH,NT,0820,AUS,70101100502,70008530000,130.82999071,-12.45395312,0491570157,0755507767,0770107981,jamescd.potterij@his4ehr.com,54981753652,,,178,89.2,90,108,M,4,
500115,302475,,,,WALTONNO,JEROMEDE,1974-10-28,M,34,FRANCES BAY,DR,DARWIN CITY,NT,0800,AUS,70101100206,70006340000,130.84752684,-12.45968173,0491570110,0755502860,0770101452,jeromede.waltonno@his4ehr.com,51080805973,,,172,93.5,91,101,W,4,
500116,302497,,,,TRANAB,SOPHIAVW,1970-10-29,F,18,CHAMBERS,CR,MALAK,NT,0812,AUS,70102102212,70009442000,130.90455471,-12.39781512,0491570110,0755509328,0770107117,sophiavw.tranab@his4ehr.com,56821049733,SIV62276D,GOL,164,86.6,90,150,M,4,
500117,302519,,,,HOEDLNO,DAISYXY,1956-11-01,F,10,CRAWFORD,CT,MOULDEN,NT,0830,AUS,70104104004,70024010000,130.97533694,-12.51590542,0491570110,0755504320,0770104513,daisyxy.hoedlno@his4ehr.com,52049433652,,,162,75.2,80,100,D,4,
500118,302540,,,,PRATTIJ,YVONNENO,1948-11-03,F,11,PETHERICK,RD,HUMPTY DOO,NT,0836,AUS,70103103215,70021191000,131.16127452,-12.59528598,0491570110,0755503541,0770109812,yvonneno.prattij@his4ehr.com,51454246314,,,155,64.9,68,85,M,4,
500119,302561,,,,CHANTPQ,STEPHENOP,1948-11-03,M,45,PARAP,RD,PARAP,NT,0820,AUS,70101100701,70011320000,130.84275109,-12.43033913,0491570157,0755500754,0770101025,stephenop.chantpq@his4ehr.com,55410969734,,,166,87.0,88,86,S,4,
500120,302582,,,,OLSENST,CAROLST,1947-11-04,F,310,VANDERLIN,DR,LEANYER,NT,0812,AUS,70102101401,70036220000,130.90783927,-12.38653776,0491570110,0755501911,0770106119,carolst.olsenst@his4ehr.com,58325723562,,,165,90.3,101,140,M,4,
500121,302604,,,,PHILLIPSOP,ALVINFG,1968-10-29,M,9,WILTON,CT,GUNN,NT,0832,AUS,70104104108,70016426000,130.99697862,-12.48548074,0491570158,0755500873,0770103681,alvinfg.phillipsop@his4ehr.com,59969974061,,,179,69.2,71,80,M,4,
500122,302625,,,,BENNEEJK,LOUISYZ,1947-11-04,M,5,BRIDLE,RD,MARLOW LAGOON,NT,0830,AUS,70104103812,70025100000,130.95413039,-12.50154756,0491570158,0755509345,0770101518,louisyz.benneejk@his4ehr.com,58725091315,,,176,75.4,81,93,M,4,
500123,302647,,,,DUFFIELDUV,DANIELRS,1965-10-30,M,43,YERRAMP,RD,YUELAMU,NT,0872,AUS,70201105404,70018010000,132.20492638,-22.25899804,0491570156,0755506580,0770102565,danielrs.duffielduv@his4ehr.com,53233182541,,,177,73.1,75,78,S,4,
500124,302669,,,,WILLIAMSDE,TONIWX,1974-10-28,F,3,GOTHAM,ST,LEANYER,NT,0812,AUS,70102102008,70009000000,130.89709232,-12.37443801,0491570159,0755509910,0770109050,toniwx.williamsde@his4ehr.com,51983668851,,,170,71.7,77,110,M,4,
500125,302691,,,,DENNINGPQ,ALANYZ,1968-10-29,M,76A,WANGURI,TCE,WANGURI,NT,0810,AUS,70102102902,70013550000,130.88974826,-12.36884588,0491570156,0755501194,0770109765,alanyz.denningpq@his4ehr.com,56359063743,,,167,71.4,68,71,S,4,
500126,302713,,,,COXUV,JESSICAGH,1975-10-28,F,57,BRADSHAW,TCE,NAKARA,NT,0810,AUS,70102101304,70010460000,130.88171753,-12.3705699,0491570157,0755507872,0770101385,jessicagh.coxuv@his4ehr.com,54452764152,,,172,82.0,90,97,S,4,
500127,302734,,,,FIELDFG,ROBERTIJ,1969-10-29,M,,WANDANJARA,RD,MILINGIMBI,NT,0822,AUS,70204106305,70016422400,134.91790237,-12.10353799,0491570158,0755507621,0770107631,robertij.fieldfg@his4ehr.com,55023457111,,,178,69.0,70,70,S,4,
500128,302755,,,,STAMPERFG,DANTU,1961-10-31,M,280,ROBINSON,RD,BORROLOOLA,NT,0854,AUS,70205106612,70003520000,136.30725334,-16.06219825,0491570157,0755508872,0770104330,dantu.stamperfg@his4ehr.com,52004634011,,,170,68.5,68,86,M,4,
500129,302777,,,,FAUONUKULM,LEONAGH,1950-11-03,F,4,CHAPMAN,CT,RAPID CREEK,NT,0810,AUS,70102102604,70011650000,130.85498744,-12.37821516,0491570156,0755500460,0770109513,leonagh.fauonukulm@his4ehr.com,52568967014,,,163,67.9,74,129,S,4,
500130,302799,,,,ANDERSONGH,SUZANNEBC,1952-11-02,F,14,WHITLAM,ST,KALKARINDJI,NT,0852,AUS,70205106806,70004780000,130.83265908,-17.44813801,0491570158,0755504739,0770109305,suzannebc.andersongh@his4ehr.com,54961678412,,,156,71.6,75,99,W,4,
500131,302821,,,,DAVISCD,BRIANMN,1944-11-04,M,2,WEDDELL,ST,PARAP,NT,0820,AUS,70101100706,70016387300,130.84139171,-12.43549712,0491570159,0755506862,0770109302,brianmn.daviscd@his4ehr.com,59945837455,,,172,70.9,75,84,W,4,
500132,302843,,,,HUTCHINGSUV,KENNETHQR,1960-10-31,M,85,DURIAN,RD,VIRGINIA,NT,0834,AUS,70103103405,70021300000,131.04702392,-12.55103027,0491570158,0755500440,0770104981,kennethqr.hutchingsuv@his4ehr.com,54479967933,,,176,87.0,90,94,M,4,
500133,302864,,,,NAMMASONERS,JIMMIEST,1956-11-01,M,41,ACACIA,DR,KATHERINE EAST,NT,0850,AUS,70205106706,70019200000,132.2838834,-14.47034904,0491570159,0755501063,0770109135,jimmiest.nammasoners@his4ehr.com,56286950731,,,169,90.3,90,96,M,4,
500134,302886,,,,GALIETTAOP,MARYQR,1950-11-03,F,7,MORAY,ST,KARAMA,NT,0812,AUS,70102101911,70007660000,130.91930371,-12.40689512,0491570157,0755506306,0770109756,maryqr.galiettaop@his4ehr.com,52082424713,,,152,53.5,54,81,M,4,
500135,302907,,,,LAIDINHI,JERRYGH,1957-11-01,M,55,PROVIDENCE,CCT,NHULUNBUY,NT,0880,AUS,70204106410,70022070000,136.77976924,-12.17737881,0491570156,0755503375,0770107632,jerrygh.laidinhi@his4ehr.com,55356429911,,,180,67.5,72,68,M,4,
500136,302929,,,,HUNTERFG,RICHARDUV,1977-10-27,M,23,STUART,HWY,BRAITLING,NT,0870,AUS,70201104505,70000330000,133.87376169,-23.68740742,0491570159,0755504966,0770103269,richarduv.hunterfg@his4ehr.com,51691631051,,,178,71.7,74,86,M,4,
500137,302951,,,,GATLINGLM,ALBAXY,1978-10-27,F,726B,TANAMI,RD,BURT PLAIN,NT,0872,AUS,70201105201,70028300000,133.78664186,-23.52045148,0491570157,0755506730,0770104135,albaxy.gatlinglm@his4ehr.com,57391086964,,,176,87.6,100,143,W,4,
500138,302973,,,,KAJPUSTNO,JOHNATHANHI,1976-10-27,M,5,HODGSON,DR,LEANYER,NT,0812,AUS,70102102003,70008770000,130.90161471,-12.37406212,0491570159,0755503155,0770101539,johnathanhi.kajpustno@his4ehr.com,51681203675,,,175,79.1,80,79,S,4,
500139,302995,,,,PEACOCKCD,BERNARDFG,1966-10-30,M,15,BATTARBEE,ST,ARALUEN,NT,0870,AUS,70201104806,70001150000,133.84864229,-23.70110871,0491570156,0755507392,0770108474,bernardfg.peacockcd@his4ehr.com,51018075943,,,179,106.5,110,122,D,4,
500140,303017,,,,SECCOMBEJK,JAMESBC,1953-11-02,M,11,DUKE,ST,STUART PARK,NT,0820,AUS,70101100808,70012420000,130.8434962,-12.45031048,0491570159,0755505887,0770106898,jamesbc.seccombejk@his4ehr.com,58219453551,,,176,65.5,69,78,M,4,
500141,303039,,,,SABAMALAIPQ,KIMBERLYIJ,1977-10-27,F,12,LEITCH,ST,MUIRHEAD,NT,0810,AUS,70102102114,73859000000,130.89406005,-12.35506978,0491570157,0755509501,0770104468,kimberlyij.sabamalaipq@his4ehr.com,59853098164,,,161,95.3,99,155,M,4,
500142,303060,,,,BESTEF,OLGAEF,1970-10-29,F,2315,STUART,HWY,WARUMUNGU,NT,0852,AUS,70202105503,70016430700,134.60022613,-19.97699731,0491570158,0755503066,0770101534,olgaef.bestef@his4ehr.com,57048856353,,,172,70.9,77,121,M,4,
500143,303081,,,,WALSHMN,VICTORTU,1940-11-05,M,5,YIPILIJAJI,CR,BRAITLING,NT,0870,AUS,70201104506,70000072000,133.86164412,-23.66597422,0491570157,0755506628,0770102564,victortu.walshmn@his4ehr.com,57463617933,,,175,68.3,74,83,S,4,
500144,303102,,,,AWADALLAXY,AMYEF,1967-10-30,F,16,MCKINLAY,RD,HERBERT,NT,0836,AUS,70103103216,70020496000,131.16282719,-12.52830988,0491570157,0755501713,0770109055,amyef.awadallaxy@his4ehr.com,54670751713,,,161,70.6,73,85,M,4,
500145,303123,,,,WILLIAMSAB,MARKHI,1965-10-30,M,8,TIVERTON,CT,MOULDEN,NT,0830,AUS,70104104002,70024150000,130.9715867,-12.50368612,0491570158,0755507006,0770100677,markhi.williamsab@his4ehr.com,50697876262,,,171,84.0,83,79,M,4,
500146,303144,,,,MCNABYZ,CYNTHIAIJ,1966-10-30,F,65,HUTCHISON,RD,HERBERT,NT,0836,AUS,70103103220,70020492000,131.1492165,-12.51957535,0491570158,0755509961,0770108984,cynthiaij.mcnabyz@his4ehr.com,51989610744,,,167,60.6,65,96,M,4,
500147,303165,,,,JOHNSTONEUV,ALEXANDERWX,1948-11-03,M,145,GILES,ST,KATHERINE,NT,0850,AUS,70205106701,70018390000,132.2763891,-14.44445368,0491570157,0755508501,0770106990,alexanderwx.johnstoneuv@his4ehr.com,52832897671,,,176,55.1,59,59,M,4,
500148,303187,,,,PUGLISIPQ,CASSANDRALM,1946-11-04,F,148,CHEENEY,RD,FINNISS VALLEY,NT,0822,AUS,70203105711,70003710000,130.96570143,-13.07798477,0491570158,0755507340,0770102839,cassandralm.puglisipq@his4ehr.com,55381315574,,,164,55.9,62,79,M,4,
500149,303208,,,,CHINTIJ,GENEVIEVEOP,1974-10-28,F,19,BROADARROW,CCT,WOODROFFE,NT,0830,AUS,70104104404,70024490000,130.9827517,-12.50213012,0491570110,0755506857,0770103476,genevieveop.chintij@his4ehr.com,56546714463,,,168,67.6,72,95,S,4,
500150,303229,,,,ALEXANDROUQR,LULAIJ,1971-10-29,F,43,DILLON,CCT,GRAY,NT,0830,AUS,70104103903,70023440000,130.98600863,-12.49477219,0491570158,0755505408,0770104288,lulaij.alexandrouqr@his4ehr.com,50787969363,,,161,85.5,87,110,M,4,
500151,303251,,,,RENDL-DEAKOP,BRIANVW,1959-11-01,M,41,PATTERSON,CR,LARAPINTA,NT,0875,AUS,70201104819,70001700000,133.8398522,-23.6888947,0491570157,0755501889,0770107603,brianvw.rendl-deakop@his4ehr.com,51331707112,,,175,73.1,75,74,M,4,
500152,303272,,,,LUONGKL,AMYCD,1940-11-05,F,225,GULNARE,RD,BEES CREEK,NT,0822,AUS,70103103402,70020470000,131.05266036,-12.58512113,0491570110,0755500142,0770104753,amycd.luongkl@his4ehr.com,56266078863,,,154,63.6,67,101,S,4,
500153,303294,,,,RIZZOPQ,SHANNONHI,1960-10-31,F,15,BARGE LANDING,RD,GAPUWIYAK,NT,0880,AUS,70204106303,70014650000,135.80396439,-12.49989104,0491570159,0755506325,0770109326,shannonhi.rizzopq@his4ehr.com,53324058423,,,161,83.6,88,110,D,4,
500154,303316,,,,LAWLESSGH,BLANCARS,1957-11-01,F,1,PALMERSTON,CCT,PALMERSTON CITY,NT,0830,AUS,70104104110,70023810000,130.98505609,-12.47843981,0491570158,0755500440,0770107901,blancars.lawlessgh@his4ehr.com,53184240165,,,160,86.3,91,126,S,4,
500155,303337,,,,COWLEYVW,MIQUELMN,1948-11-03,M,10,PANDANUS,ST,NIGHTCLIFF,NT,0810,AUS,70102102501,70016412700,130.85197671,-12.38131712,0491570158,0755505018,0770100386,miquelmn.cowleyvw@his4ehr.com,54679826353,,,171,83.5,87,70,M,4,
500156,303358,,,,CAINIJ,JOELMN,1954-11-02,M,27,MAHONY,CCT,DRIVER,NT,0830,AUS,70104103703,70022940000,130.97350995,-12.49379227,0491570157,0755508468,0770101156,joelmn.cainij@his4ehr.com,57343589815,,,172,103.4,106,121,M,4,
500157,303380,,,,BAILEYEF,ANGELST,1967-10-30,M,103,RAPID CREEK,RD,RAPID CREEK,NT,0810,AUS,70102102607,70011670000,130.86246571,-12.38018312,0491570110,0755507023,0770109016,angelst.baileyef@his4ehr.com,55640590675,,,178,93.4,95,95,S,4,
500158,303402,,,,SMITHERSHI,JIMBC,1974-10-28,M,18,LEOBEN,CT,KARAMA,NT,0812,AUS,70102101910,70007940000,130.92131919,-12.40637215,0491570158,0755508367,0770109550,jimbc.smithershi@his4ehr.com,51364580824,,,184,95.8,100,96,S,4,
500159,303423,,,,SENHAJIQR,NANCYIJ,1955-11-02,F,40,KINCHELA,RD,JABIRU,NT,0886,AUS,70203105707,70018260000,132.83337774,-12.67833121,0491570158,0755505179,0770101600,nancyij.senhajiqr@his4ehr.com,51234075774,,,171,67.5,76,95,D,4,
500160,303444,,,,SNELLKL,MARTHATU,1945-11-04,F,61,NAPIER,RD,VENN,NT,0852,AUS,70205106722,70016340000,132.49547007,-14.61171215,0491570156,0755501335,0770106352,marthatu.snellkl@his4ehr.com,58474256914,,,160,85.3,93,143,M,4,
500161,303466,,,,RENDALLMN,MILDREDHI,1973-10-28,F,10,MULLA MULLA,RD,CONNELLAN,NT,0873,AUS,70201105110,70016395200,133.90974772,-23.76946486,0491570159,0755509810,0770100365,mildredhi.rendallmn@his4ehr.com,54377061915,,,169,85.8,92,104,M,4,
500162,303487,,,,MCFARLANEFG,JIMMIEMN,1968-10-29,M,20,HUSNES,AV,NHULUNBUY,NT,0880,AUS,70204106402,70022200000,136.77202564,-12.19374126,0491570158,0755504481,0770107122,jimmiemn.mcfarlanefg@his4ehr.com,57518860471,,,178,76.8,78,91,S,4,
500163,303509,,,,OLSENLM,MARGARETPQ,1940-11-05,F,9,MOODY,CT,MALAK,NT,0812,AUS,70102102205,70009632000,130.90650666,-12.38777653,0491570159,0755502659,0770104499,margaretpq.olsenlm@his4ehr.com,55381589645,,,162,75.4,84,122,D,4,
500164,303530,,,,RENDENVW,DENNISKL,1951-11-03,M,14,OSTERMANN,ST,COCONUT GROVE,NT,0810,AUS,70102101604,70006810000,130.85075091,-12.39391049,0491570157,0755506324,0770103281,denniskl.rendenvw@his4ehr.com,54535214315,SA146907D,ORN,178,79.9,86,88,S,4,
500165,303551,,,,BOYLECD,ROBERTMN,1950-11-03,M,25,FEATHERTOP,CCT,ZUCCOLI,NT,0832,AUS,70104104218,73824000000,131.00467026,-12.50513347,0491570156,0755504174,0770108618,robertmn.boylecd@his4ehr.com,51604115924,,,171,92.8,96,90,M,4,
500166,303573,,,,YANGYANGXY,RICHARDAB,1945-11-04,M,90,GOODE,RD,HUMPTY DOO,NT,0836,AUS,70103103207,70021020000,131.08183539,-12.61291981,0491570156,0755509564,0770109715,richardab.yangyangxy@his4ehr.com,58506518471,,,173,77.0,81,79,M,4,
500167,303595,,,,KIRKWOODMN,JOSEPHLM,1961-10-31,M,42,NATION,CR,COCONUT GROVE,NT,0810,AUS,70102101605,70016419000,130.85371071,-12.39822412,0491570156,0755502845,0770101731,josephlm.kirkwoodmn@his4ehr.com,50243949435,,,180,59.8,63,80,M,4,
500168,303616,,,,HARRISMN,DAVIDLM,1968-10-29,M,7,ARRUNGE,CR,YUELAMU,NT,0872,AUS,70201105404,70018010000,132.20580466,-22.26014602,0491570157,0755503009,0770100098,davidlm.harrismn@his4ehr.com,59779788275,,,170,86.0,84,92,S,4,
500169,303637,,,,MCNABBCD,ROBERTVW,1959-11-01,M,1165,LIVINGSTONE,RD,BERRY SPRINGS,NT,0838,AUS,70103103516,70021150000,130.9817026,-12.73301274,0491570159,0755501667,0770103325,robertvw.mcnabbcd@his4ehr.com,53144698455,,,181,74.9,79,85,S,4,
500170,303658,,,,LAMBERTVW,ERWINMN,1953-11-02,M,6,MCGREGOR,CT,ZUCCOLI,NT,0832,AUS,70104104210,73810000000,131.00969661,-12.51424739,0491570159,0755508551,0770101181,erwinmn.lambertvw@his4ehr.com,58703242341,,,177,89.8,95,94,M,4,
500171,303680,,,,WAGEMANNEF,JOSEEF,1939-11-06,M,52,CALLISTEMON,DR,KATHERINE EAST,NT,0850,AUS,70205106707,70019070000,132.2839887,-14.46175576,0491570158,0755508687,0770106000,joseef.wagemannef@his4ehr.com,59347822212,,,167,89.2,92,93,M,4,
500172,303701,,,,ALSZKOTU,THOMASTU,1954-11-02,M,9,BUL BUL,CT,LUDMILLA,NT,0820,AUS,70101100605,70009180000,130.85426856,-12.41939339,0491570158,0755509645,0770108564,thomastu.alszkotu@his4ehr.com,59463817143,,,173,87.9,90,114,M,4,
500173,303723,,,,GILLESPIEWX,ADDIEPQ,1962-10-31,F,25,BROADARROW,CCT,WOODROFFE,NT,0830,AUS,70104104404,70024490000,130.98288889,-12.50267336,0491570159,0755507374,0770105938,addiepq.gillespiewx@his4ehr.com,58626813323,,,154,84.0,84,86,M,4,
500174,303745,,,,MERIATYBC,MARKQR,1968-10-29,M,2,HIGGINS,CT,DESERT SPRINGS,NT,0870,AUS,70201104903,70002660000,133.8860911,-23.71639759,0491570110,0755503624,0770108967,markqr.meriatybc@his4ehr.com,56782791953,SSM88411 ,GOL,182,64.3,67,68,S,4,
500175,303767,,,,FLEGGST,JUSTINST,1942-11-05,M,40,ASCHE,ST,MUIRHEAD,NT,0810,AUS,70102102108,70016400500,130.89605374,-12.3628149,0491570156,0755505329,0770104772,justinst.fleggst@his4ehr.com,50222556311,,,174,84.2,90,104,M,4,
500176,303789,,,,LUMBAXY,CORNELIADE,1978-10-27,F,11,CANEGRASS,CCT,ZUCCOLI,NT,0832,AUS,70104104218,73825000000,131.00473496,-12.50611254,0491570157,0755500441,0770104469,corneliade.lumbaxy@his4ehr.com,55370851253,,,162,86.2,90,121,S,4,
500177,303810,,,,EVGENIKOSEF,AMADAEF,1971-10-29,F,,ROWELL,HWY,ALYANGULA,NT,0885,AUS,70204106209,70016402600,136.42809493,-13.85596334,0491570158,0755503533,0770105074,amadaef.evgenikosef@his4ehr.com,55605758522,,,163,82.6,86,109,M,1,
500178,303832,,,,CROUSJK,FAYEGH,1973-10-28,F,38,WULAGI,CR,WULAGI,NT,0812,AUS,70102103002,70013971000,130.89570852,-12.38517627,0491570157,0755500806,0770105889,fayegh.crousjk@his4ehr.com,52858137745,,,165,61.7,64,72,M,4,
500179,303854,,,,MORRISNO,MARYEF,1966-10-30,F,115,BRIDGEMARY,CR,GIRRAWEEN,NT,0836,AUS,70103103213,70021500000,131.11734329,-12.53732063,0491570159,0755502343,0770109676,maryef.morrisno@his4ehr.com,50297512755,,,156,75.7,76,100,M,4,
500180,303876,,,,MUNDAYTU,GREGORYIJ,1948-11-03,M,13017,BUNTINE,HWY,VICTORIA RIVER,NT,0852,AUS,70205106812,70033570000,132.30607061,-16.32654413,0491570159,0755501129,0770106334,gregoryij.mundaytu@his4ehr.com,59521538462,,,179,94.9,103,108,M,4,
500181,303898,,,,SOMERSIJ,JERRYYZ,1954-11-02,M,11,FERGUSSON,ST,ANULA,NT,0812,AUS,70102101101,70005590000,130.89510268,-12.38917971,0491570157,0755505311,0770102389,jerryyz.somersij@his4ehr.com,54412125844,,,166,84.9,84,106,M,4,
500182,303920,,,,YOUNGCD,DENICEST,1967-10-30,F,127,FLYNN,CCT,BELLAMACK,NT,0832,AUS,70104104314,70016425600,130.97945291,-12.51268457,0491570110,0755505784,0770101875,denicest.youngcd@his4ehr.com,52526177561,,,170,99.5,109,157,M,4,
500183,303942,,,,ARCHIBALDRS,HENRYQR,1940-11-05,M,22,ROSELLA,CR,WULAGI,NT,0812,AUS,70102103001,70013892000,130.89949771,-12.38338212,0491570156,0755508738,0770106607,henryqr.archibaldrs@his4ehr.com,55173427252,,,177,90.4,99,111,M,4,
500184,303964,,,,HEYWORTHRS,JENNYUV,1954-11-02,F,30,FOREST,DR,HUMPTY DOO,NT,0836,AUS,70103103207,70020970000,131.07718735,-12.58757046,0491570156,0755505992,0770105243,jennyuv.heyworthrs@his4ehr.com,54431039554,,,168,90.8,102,135,M,4,
500185,303986,,,,CASTLESEF,CHRISMN,1975-10-28,M,17,DICK WARD,DR,LUDMILLA,NT,0820,AUS,70101100604,70035970000,130.84356322,-12.41865679,0491570158,0755509111,0770101856,chrismn.castlesef@his4ehr.com,50477117645,,,177,84.2,85,106,M,4,
500186,304007,,,,MORROWHI,CATHERINEAB,1952-11-02,F,22,AH MAT,ST,WOOLNER,NT,0820,AUS,70101100909,70005840000,130.85297271,-12.43532012,0491570157,0755503399,0770107712,catherineab.morrowhi@his4ehr.com,54579773111,,,166,72.3,80,98,M,4,
500187,304029,,,,CRAIGRS,JUSTINNO,1950-11-03,M,19,WALER,RD,MARLOW LAGOON,NT,0830,AUS,70104103816,70025120000,130.96575112,-12.49182023,0491570110,0755502102,0770104312,justinno.craigrs@his4ehr.com,52641707451,,,169,75.6,77,79,M,1,
500188,304050,,,,YATESRS,RICHARDMN,1961-10-31,M,80,KOLUMBOORT,ST,WADEYE,NT,0822,AUS,70203105901,70032540000,129.51794752,-14.24312254,0491570158,0755508145,0770102351,richardmn.yatesrs@his4ehr.com,57028531771,,,177,74.6,77,94,S,4,
500189,304072,,,,SHAM SIUV,VIRGINIACD,1976-10-27,F,17,TASMAN,CR,JABIRU,NT,0886,AUS,70203105712,70018171000,132.83325963,-12.67257204,0491570159,0755500873,0770102494,virginiacd.sham siuv@his4ehr.com,51872067442,,,158,72.9,74,80,M,4,
500190,304094,,,,HATZIGIANNIDISIJ,ROBERTHI,1962-10-31,M,24,NUDL,ST,STUART PARK,NT,0820,AUS,70101100807,70012610000,130.8435432,-12.43884226,0491570156,0755509350,0770100945,roberthi.hatzigiannidisij@his4ehr.com,52321365744,,,176,83.6,86,104,M,4,
